parent	child	length
99980 Enzymes with EC numbers	K22462	1.0
99980 Enzymes with EC numbers	K23738	1.0
99980 Enzymes with EC numbers	K24002	1.0
99980 Enzymes with EC numbers	K23968	1.0
99980 Enzymes with EC numbers	K13236	1.0
99980 Enzymes with EC numbers	K00258	1.0
99980 Enzymes with EC numbers	K23050	1.0
99980 Enzymes with EC numbers	K23065	1.0
99980 Enzymes with EC numbers	K23256	1.0
99980 Enzymes with EC numbers	K24219	1.0
99980 Enzymes with EC numbers	K06137	1.0
99980 Enzymes with EC numbers	K21375	1.0
99980 Enzymes with EC numbers	K05897	1.0
99980 Enzymes with EC numbers	K25759	1.0
99980 Enzymes with EC numbers	K08297	1.0
99980 Enzymes with EC numbers	K24016	1.0
99980 Enzymes with EC numbers	K18561	1.0
99980 Enzymes with EC numbers	K24696	1.0
99980 Enzymes with EC numbers	K07302	1.0
99980 Enzymes with EC numbers	K07303	1.0
99980 Enzymes with EC numbers	K21818	1.0
99980 Enzymes with EC numbers	K21401	1.0
99980 Enzymes with EC numbers	K00257	1.0
99980 Enzymes with EC numbers	K18244	1.0
99980 Enzymes with EC numbers	K22818	1.0
99980 Enzymes with EC numbers	K22819	1.0
99980 Enzymes with EC numbers	K22820	1.0
99980 Enzymes with EC numbers	K22821	1.0
99980 Enzymes with EC numbers	K22822	1.0
99980 Enzymes with EC numbers	K25950	1.0
99980 Enzymes with EC numbers	K00277	1.0
99980 Enzymes with EC numbers	K17831	1.0
99980 Enzymes with EC numbers	K24693	1.0
99980 Enzymes with EC numbers	K00280	1.0
99980 Enzymes with EC numbers	K14678	1.0
99980 Enzymes with EC numbers	K05300	1.0
99980 Enzymes with EC numbers	K23235	1.0
99980 Enzymes with EC numbers	K00298	1.0
99980 Enzymes with EC numbers	K04940	1.0
99980 Enzymes with EC numbers	K06988	1.0
99980 Enzymes with EC numbers	K19809	1.0
99980 Enzymes with EC numbers	K17833	1.0
99980 Enzymes with EC numbers	K19817	1.0
99980 Enzymes with EC numbers	K25951	1.0
99980 Enzymes with EC numbers	K25952	1.0
99980 Enzymes with EC numbers	K02846	1.0
99980 Enzymes with EC numbers	K22551	1.0
99980 Enzymes with EC numbers	K00311	1.0
99980 Enzymes with EC numbers	K00313	1.0
99980 Enzymes with EC numbers	K22162	1.0
99980 Enzymes with EC numbers	K22158	1.0
99980 Enzymes with EC numbers	K22159	1.0
99980 Enzymes with EC numbers	K22160	1.0
99980 Enzymes with EC numbers	K22161	1.0
99980 Enzymes with EC numbers	K22163	1.0
99980 Enzymes with EC numbers	K22164	1.0
99980 Enzymes with EC numbers	K22165	1.0
99980 Enzymes with EC numbers	K22166	1.0
99980 Enzymes with EC numbers	K22167	1.0
99980 Enzymes with EC numbers	K22168	1.0
99980 Enzymes with EC numbers	K22169	1.0
99980 Enzymes with EC numbers	K22170	1.0
99980 Enzymes with EC numbers	K00327	1.0
99980 Enzymes with EC numbers	K17870	1.0
99980 Enzymes with EC numbers	K17869	1.0
99980 Enzymes with EC numbers	K22405	1.0
99980 Enzymes with EC numbers	K18208	1.0
99980 Enzymes with EC numbers	K23842	1.0
99980 Enzymes with EC numbers	K00344	1.0
99980 Enzymes with EC numbers	K00359	1.0
99980 Enzymes with EC numbers	K23948	1.0
99980 Enzymes with EC numbers	K03923	1.0
99980 Enzymes with EC numbers	K00354	1.0
99980 Enzymes with EC numbers	K16908	1.0
99980 Enzymes with EC numbers	K03206	1.0
99980 Enzymes with EC numbers	K01118	1.0
99980 Enzymes with EC numbers	K00378	1.0
99980 Enzymes with EC numbers	K22962	1.0
99980 Enzymes with EC numbers	K22364	1.0
99980 Enzymes with EC numbers	K08255	1.0
99980 Enzymes with EC numbers	K17883	1.0
99980 Enzymes with EC numbers	K23076	1.0
99980 Enzymes with EC numbers	K18367	1.0
99980 Enzymes with EC numbers	K20202	1.0
99980 Enzymes with EC numbers	K20203	1.0
99980 Enzymes with EC numbers	K22347	1.0
99980 Enzymes with EC numbers	K03387	1.0
99980 Enzymes with EC numbers	K22124	1.0
99980 Enzymes with EC numbers	K24426	1.0
99980 Enzymes with EC numbers	K19713	1.0
99980 Enzymes with EC numbers	K24299	1.0
99980 Enzymes with EC numbers	K10758	1.0
99980 Enzymes with EC numbers	K17891	1.0
99980 Enzymes with EC numbers	K07304	1.0
99980 Enzymes with EC numbers	K12267	1.0
99980 Enzymes with EC numbers	K07305	1.0
99980 Enzymes with EC numbers	K11209	1.0
99980 Enzymes with EC numbers	K07393	1.0
99980 Enzymes with EC numbers	K17892	1.0
99980 Enzymes with EC numbers	K12260	1.0
99980 Enzymes with EC numbers	K21816	1.0
99980 Enzymes with EC numbers	K01829	1.0
99980 Enzymes with EC numbers	K07147	1.0
99980 Enzymes with EC numbers	K00421	1.0
99980 Enzymes with EC numbers	K05909	1.0
99980 Enzymes with EC numbers	K17893	1.0
99980 Enzymes with EC numbers	K12262	1.0
99980 Enzymes with EC numbers	K08071	1.0
99980 Enzymes with EC numbers	K05910	1.0
99980 Enzymes with EC numbers	K00428	1.0
99980 Enzymes with EC numbers	K19511	1.0
99980 Enzymes with EC numbers	K00433	1.0
99980 Enzymes with EC numbers	K17990	1.0
99980 Enzymes with EC numbers	K20205	1.0
99980 Enzymes with EC numbers	K23515	1.0
99980 Enzymes with EC numbers	K23075	1.0
99980 Enzymes with EC numbers	K20206	1.0
99980 Enzymes with EC numbers	K15733	1.0
99980 Enzymes with EC numbers	K20207	1.0
99980 Enzymes with EC numbers	K03564	1.0
99980 Enzymes with EC numbers	K11065	1.0
99980 Enzymes with EC numbers	K23856	1.0
99980 Enzymes with EC numbers	K24157	1.0
99980 Enzymes with EC numbers	K24158	1.0
99980 Enzymes with EC numbers	K24129	1.0
99980 Enzymes with EC numbers	K24130	1.0
99980 Enzymes with EC numbers	K24140	1.0
99980 Enzymes with EC numbers	K24119	1.0
99980 Enzymes with EC numbers	K04063	1.0
99980 Enzymes with EC numbers	K04756	1.0
99980 Enzymes with EC numbers	K24126	1.0
99980 Enzymes with EC numbers	K24120	1.0
99980 Enzymes with EC numbers	K07223	1.0
99980 Enzymes with EC numbers	K21820	1.0
99980 Enzymes with EC numbers	K20208	1.0
99980 Enzymes with EC numbers	K00436	1.0
99980 Enzymes with EC numbers	K18005	1.0
99980 Enzymes with EC numbers	K18006	1.0
99980 Enzymes with EC numbers	K18007	1.0
99980 Enzymes with EC numbers	K17992	1.0
99980 Enzymes with EC numbers	K18330	1.0
99980 Enzymes with EC numbers	K18331	1.0
99980 Enzymes with EC numbers	K18332	1.0
99980 Enzymes with EC numbers	K17997	1.0
99980 Enzymes with EC numbers	K17998	1.0
99980 Enzymes with EC numbers	K17999	1.0
99980 Enzymes with EC numbers	K00437	1.0
99980 Enzymes with EC numbers	K18008	1.0
99980 Enzymes with EC numbers	K05922	1.0
99980 Enzymes with EC numbers	K05927	1.0
99980 Enzymes with EC numbers	K00532	1.0
99980 Enzymes with EC numbers	K00533	1.0
99980 Enzymes with EC numbers	K00534	1.0
99980 Enzymes with EC numbers	K06441	1.0
99980 Enzymes with EC numbers	K18016	1.0
99980 Enzymes with EC numbers	K18017	1.0
99980 Enzymes with EC numbers	K18023	1.0
99980 Enzymes with EC numbers	K14068	1.0
99980 Enzymes with EC numbers	K14069	1.0
99980 Enzymes with EC numbers	K14070	1.0
99980 Enzymes with EC numbers	K06911	1.0
99980 Enzymes with EC numbers	K07155	1.0
99980 Enzymes with EC numbers	K20209	1.0
99980 Enzymes with EC numbers	K21821	1.0
99980 Enzymes with EC numbers	K09162	1.0
99980 Enzymes with EC numbers	K20148	1.0
99980 Enzymes with EC numbers	K18031	1.0
99980 Enzymes with EC numbers	K21817	1.0
99980 Enzymes with EC numbers	K18250	1.0
99980 Enzymes with EC numbers	K18048	1.0
99980 Enzymes with EC numbers	K10252	1.0
99980 Enzymes with EC numbers	K00464	1.0
99980 Enzymes with EC numbers	K21822	1.0
99980 Enzymes with EC numbers	K22690	1.0
99980 Enzymes with EC numbers	K23019	1.0
99980 Enzymes with EC numbers	K23117	1.0
99980 Enzymes with EC numbers	K23118	1.0
99980 Enzymes with EC numbers	K23363	1.0
99980 Enzymes with EC numbers	K24290	1.0
99980 Enzymes with EC numbers	K24700	1.0
99980 Enzymes with EC numbers	K25986	1.0
99980 Enzymes with EC numbers	K00465	1.0
99980 Enzymes with EC numbers	K11159	1.0
99980 Enzymes with EC numbers	K23953	1.0
99980 Enzymes with EC numbers	K18053	1.0
99980 Enzymes with EC numbers	K05914	1.0
99980 Enzymes with EC numbers	K21823	1.0
99980 Enzymes with EC numbers	K22500	1.0
99980 Enzymes with EC numbers	K21815	1.0
99980 Enzymes with EC numbers	K22619	1.0
99980 Enzymes with EC numbers	K24788	1.0
99980 Enzymes with EC numbers	K22406	1.0
99980 Enzymes with EC numbers	K22407	1.0
99980 Enzymes with EC numbers	K20149	1.0
99980 Enzymes with EC numbers	K18055	1.0
99980 Enzymes with EC numbers	K18058	1.0
99980 Enzymes with EC numbers	K20157	1.0
99980 Enzymes with EC numbers	K20612	1.0
99980 Enzymes with EC numbers	K21728	1.0
99980 Enzymes with EC numbers	K21729	1.0
99980 Enzymes with EC numbers	K20418	1.0
99980 Enzymes with EC numbers	K23516	1.0
99980 Enzymes with EC numbers	K25061	1.0
99980 Enzymes with EC numbers	K10765	1.0
99980 Enzymes with EC numbers	K10766	1.0
99980 Enzymes with EC numbers	K21614	1.0
99980 Enzymes with EC numbers	K21615	1.0
99980 Enzymes with EC numbers	K22616	1.0
99980 Enzymes with EC numbers	K24001	1.0
99980 Enzymes with EC numbers	K24291	1.0
99980 Enzymes with EC numbers	K24448	1.0
99980 Enzymes with EC numbers	K24449	1.0
99980 Enzymes with EC numbers	K24701	1.0
99980 Enzymes with EC numbers	K22303	1.0
99980 Enzymes with EC numbers	K25987	1.0
99980 Enzymes with EC numbers	K07336	1.0
99980 Enzymes with EC numbers	K10768	1.0
99980 Enzymes with EC numbers	K10769	1.0
99980 Enzymes with EC numbers	K19245	1.0
99980 Enzymes with EC numbers	K23066	1.0
99980 Enzymes with EC numbers	K24028	1.0
99980 Enzymes with EC numbers	K24029	1.0
99980 Enzymes with EC numbers	K05916	1.0
99980 Enzymes with EC numbers	K23517	1.0
99980 Enzymes with EC numbers	K18229	1.0
99980 Enzymes with EC numbers	K21730	1.0
99980 Enzymes with EC numbers	K21376	1.0
99980 Enzymes with EC numbers	K10531	1.0
99980 Enzymes with EC numbers	K21684	1.0
99980 Enzymes with EC numbers	K21280	1.0
99980 Enzymes with EC numbers	K21323	1.0
99980 Enzymes with EC numbers	K22027	1.0
99980 Enzymes with EC numbers	K22324	1.0
99980 Enzymes with EC numbers	K22342	1.0
99980 Enzymes with EC numbers	K22343	1.0
99980 Enzymes with EC numbers	K22344	1.0
99980 Enzymes with EC numbers	K22443	1.0
99980 Enzymes with EC numbers	K22444	1.0
99980 Enzymes with EC numbers	K23556	1.0
99980 Enzymes with EC numbers	K24003	1.0
99980 Enzymes with EC numbers	K25564	1.0
99980 Enzymes with EC numbers	K20147	1.0
99980 Enzymes with EC numbers	K22219	1.0
99980 Enzymes with EC numbers	K22220	1.0
99980 Enzymes with EC numbers	K20938	1.0
99980 Enzymes with EC numbers	K21281	1.0
99980 Enzymes with EC numbers	K22691	1.0
99980 Enzymes with EC numbers	K21731	1.0
99980 Enzymes with EC numbers	K23020	1.0
99980 Enzymes with EC numbers	K21720	1.0
99980 Enzymes with EC numbers	K25953	1.0
99980 Enzymes with EC numbers	K23319	1.0
99980 Enzymes with EC numbers	K23464	1.0
99980 Enzymes with EC numbers	K22325	1.0
99980 Enzymes with EC numbers	K23364	1.0
99980 Enzymes with EC numbers	K24702	1.0
99980 Enzymes with EC numbers	K24703	1.0
99980 Enzymes with EC numbers	K15537	1.0
99980 Enzymes with EC numbers	K03393	1.0
99980 Enzymes with EC numbers	K00504	1.0
99980 Enzymes with EC numbers	K24006	1.0
99980 Enzymes with EC numbers	K21704	1.0
99980 Enzymes with EC numbers	K19703	1.0
99980 Enzymes with EC numbers	K19706	1.0
99980 Enzymes with EC numbers	K24121	1.0
99980 Enzymes with EC numbers	K21732	1.0
99980 Enzymes with EC numbers	K18247	1.0
99980 Enzymes with EC numbers	K21705	1.0
99980 Enzymes with EC numbers	K21706	1.0
99980 Enzymes with EC numbers	K21707	1.0
99980 Enzymes with EC numbers	K21708	1.0
99980 Enzymes with EC numbers	K21709	1.0
99980 Enzymes with EC numbers	K21710	1.0
99980 Enzymes with EC numbers	K13076	1.0
99980 Enzymes with EC numbers	K21733	1.0
99980 Enzymes with EC numbers	K23036	1.0
99980 Enzymes with EC numbers	K23054	1.0
99980 Enzymes with EC numbers	K21734	1.0
99980 Enzymes with EC numbers	K21735	1.0
99980 Enzymes with EC numbers	K21736	1.0
99980 Enzymes with EC numbers	K21737	1.0
99980 Enzymes with EC numbers	K20416	1.0
99980 Enzymes with EC numbers	K20417	1.0
99980 Enzymes with EC numbers	K05918	1.0
99980 Enzymes with EC numbers	K22712	1.0
99980 Enzymes with EC numbers	K22692	1.0
99980 Enzymes with EC numbers	K22693	1.0
99980 Enzymes with EC numbers	K22694	1.0
99980 Enzymes with EC numbers	K22695	1.0
99980 Enzymes with EC numbers	K22875	1.0
99980 Enzymes with EC numbers	K23119	1.0
99980 Enzymes with EC numbers	K22876	1.0
99980 Enzymes with EC numbers	K22877	1.0
99980 Enzymes with EC numbers	K22996	1.0
99980 Enzymes with EC numbers	K06072	1.0
99980 Enzymes with EC numbers	K21713	1.0
99980 Enzymes with EC numbers	K19356	1.0
99980 Enzymes with EC numbers	K00516	1.0
99980 Enzymes with EC numbers	K22032	1.0
99980 Enzymes with EC numbers	K22033	1.0
99980 Enzymes with EC numbers	K21481	1.0
99980 Enzymes with EC numbers	K23752	1.0
99980 Enzymes with EC numbers	K24704	1.0
99980 Enzymes with EC numbers	K24705	1.0
99980 Enzymes with EC numbers	K10253	1.0
99980 Enzymes with EC numbers	K00493	1.0
99980 Enzymes with EC numbers	K15005	1.0
99980 Enzymes with EC numbers	K15006	1.0
99980 Enzymes with EC numbers	K15007	1.0
99980 Enzymes with EC numbers	K24116	1.0
99980 Enzymes with EC numbers	K00518	1.0
99980 Enzymes with EC numbers	K05919	1.0
99980 Enzymes with EC numbers	K00520	1.0
99980 Enzymes with EC numbers	K00521	1.0
99980 Enzymes with EC numbers	K00597	1.0
99980 Enzymes with EC numbers	K07229	1.0
99980 Enzymes with EC numbers	K18915	1.0
99980 Enzymes with EC numbers	K02217	1.0
99980 Enzymes with EC numbers	K06324	1.0
99980 Enzymes with EC numbers	K22348	1.0
99980 Enzymes with EC numbers	K22349	1.0
99980 Enzymes with EC numbers	K22350	1.0
99980 Enzymes with EC numbers	K14588	1.0
99980 Enzymes with EC numbers	K20150	1.0
99980 Enzymes with EC numbers	K16183	1.0
99980 Enzymes with EC numbers	K22338	1.0
99980 Enzymes with EC numbers	K22339	1.0
99980 Enzymes with EC numbers	K22340	1.0
99980 Enzymes with EC numbers	K22341	1.0
99980 Enzymes with EC numbers	K21676	1.0
99980 Enzymes with EC numbers	K21677	1.0
99980 Enzymes with EC numbers	K24452	1.0
99980 Enzymes with EC numbers	K24453	1.0
99980 Enzymes with EC numbers	K24122	1.0
99980 Enzymes with EC numbers	K24716	1.0
99980 Enzymes with EC numbers	K24717	1.0
99980 Enzymes with EC numbers	K24718	1.0
99980 Enzymes with EC numbers	K00528	1.0
99980 Enzymes with EC numbers	K21567	1.0
99980 Enzymes with EC numbers	K21570	1.0
99980 Enzymes with EC numbers	K12265	1.0
99980 Enzymes with EC numbers	K18916	1.0
99980 Enzymes with EC numbers	K00537	1.0
99980 Enzymes with EC numbers	K22547	1.0
99980 Enzymes with EC numbers	K18917	1.0
99980 Enzymes with EC numbers	K03741	1.0
99980 Enzymes with EC numbers	K10670	1.0
99980 Enzymes with EC numbers	K10671	1.0
99980 Enzymes with EC numbers	K10672	1.0
99980 Enzymes with EC numbers	K21576	1.0
99980 Enzymes with EC numbers	K21577	1.0
99980 Enzymes with EC numbers	K21583	1.0
99980 Enzymes with EC numbers	K21584	1.0
99980 Enzymes with EC numbers	K21578	1.0
99980 Enzymes with EC numbers	K21579	1.0
99980 Enzymes with EC numbers	K06139	1.0
99980 Enzymes with EC numbers	K04068	1.0
99980 Enzymes with EC numbers	K04069	1.0
99980 Enzymes with EC numbers	K04070	1.0
99980 Enzymes with EC numbers	K20037	1.0
99980 Enzymes with EC numbers	K23300	1.0
99980 Enzymes with EC numbers	K11933	1.0
99980 Enzymes with EC numbers	K12136	1.0
99980 Enzymes with EC numbers	K12137	1.0
99980 Enzymes with EC numbers	K12138	1.0
99980 Enzymes with EC numbers	K12139	1.0
99980 Enzymes with EC numbers	K12140	1.0
99980 Enzymes with EC numbers	K12141	1.0
99980 Enzymes with EC numbers	K12142	1.0
99980 Enzymes with EC numbers	K12144	1.0
99980 Enzymes with EC numbers	K12145	1.0
99980 Enzymes with EC numbers	K14189	1.0
99980 Enzymes with EC numbers	K15976	1.0
99980 Enzymes with EC numbers	K22122	1.0
99980 Enzymes with EC numbers	K23320	1.0
99980 Enzymes with EC numbers	K23321	1.0
99980 Enzymes with EC numbers	K23322	1.0
99980 Enzymes with EC numbers	K23632	1.0
99980 Enzymes with EC numbers	K23633	1.0
99980 Enzymes with EC numbers	K22545	1.0
99980 Enzymes with EC numbers	K22590	1.0
99980 Enzymes with EC numbers	K00573	1.0
99980 Enzymes with EC numbers	K00574	1.0
99980 Enzymes with EC numbers	K20215	1.0
99980 Enzymes with EC numbers	K21551	1.0
99980 Enzymes with EC numbers	K18801	1.0
99980 Enzymes with EC numbers	K00592	1.0
99980 Enzymes with EC numbers	K21549	1.0
99980 Enzymes with EC numbers	K00598	1.0
99980 Enzymes with EC numbers	K22438	1.0
99980 Enzymes with EC numbers	K21553	1.0
99980 Enzymes with EC numbers	K21552	1.0
99980 Enzymes with EC numbers	K22439	1.0
99980 Enzymes with EC numbers	K18883	1.0
99980 Enzymes with EC numbers	K16215	1.0
99980 Enzymes with EC numbers	K16219	1.0
99980 Enzymes with EC numbers	K16217	1.0
99980 Enzymes with EC numbers	K21541	1.0
99980 Enzymes with EC numbers	K21542	1.0
99980 Enzymes with EC numbers	K16868	1.0
99980 Enzymes with EC numbers	K21482	1.0
99980 Enzymes with EC numbers	K21484	1.0
99980 Enzymes with EC numbers	K21483	1.0
99980 Enzymes with EC numbers	K18885	1.0
99980 Enzymes with EC numbers	K18886	1.0
99980 Enzymes with EC numbers	K21485	1.0
99980 Enzymes with EC numbers	K18848	1.0
99980 Enzymes with EC numbers	K21457	1.0
99980 Enzymes with EC numbers	K19579	1.0
99980 Enzymes with EC numbers	K21458	1.0
99980 Enzymes with EC numbers	K21459	1.0
99980 Enzymes with EC numbers	K21377	1.0
99980 Enzymes with EC numbers	K21460	1.0
99980 Enzymes with EC numbers	K21427	1.0
99980 Enzymes with EC numbers	K20238	1.0
99980 Enzymes with EC numbers	K21426	1.0
99980 Enzymes with EC numbers	K22546	1.0
99980 Enzymes with EC numbers	K21282	1.0
99980 Enzymes with EC numbers	K21936	1.0
99980 Enzymes with EC numbers	K22309	1.0
99980 Enzymes with EC numbers	K22577	1.0
99980 Enzymes with EC numbers	K23078	1.0
99980 Enzymes with EC numbers	K23153	1.0
99980 Enzymes with EC numbers	K23394	1.0
99980 Enzymes with EC numbers	K23973	1.0
99980 Enzymes with EC numbers	K24288	1.0
99980 Enzymes with EC numbers	K24666	1.0
99980 Enzymes with EC numbers	K24667	1.0
99980 Enzymes with EC numbers	K25222	1.0
99980 Enzymes with EC numbers	K25595	1.0
99980 Enzymes with EC numbers	K25600	1.0
99980 Enzymes with EC numbers	K25917	1.0
99980 Enzymes with EC numbers	K00614	1.0
99980 Enzymes with EC numbers	K05303	1.0
99980 Enzymes with EC numbers	K07444	1.0
99980 Enzymes with EC numbers	K21402	1.0
99980 Enzymes with EC numbers	K22123	1.0
99980 Enzymes with EC numbers	K22703	1.0
99980 Enzymes with EC numbers	K22704	1.0
99980 Enzymes with EC numbers	K22705	1.0
99980 Enzymes with EC numbers	K22741	1.0
99980 Enzymes with EC numbers	K22843	1.0
99980 Enzymes with EC numbers	K22882	1.0
99980 Enzymes with EC numbers	K23323	1.0
99980 Enzymes with EC numbers	K23870	1.0
99980 Enzymes with EC numbers	K23871	1.0
99980 Enzymes with EC numbers	K23872	1.0
99980 Enzymes with EC numbers	K24419	1.0
99980 Enzymes with EC numbers	K13252	1.0
99980 Enzymes with EC numbers	K13043	1.0
99980 Enzymes with EC numbers	K00612	1.0
99980 Enzymes with EC numbers	K22578	1.0
99980 Enzymes with EC numbers	K11941	1.0
99980 Enzymes with EC numbers	K18847	1.0
99980 Enzymes with EC numbers	K00617	1.0
99980 Enzymes with EC numbers	K22749	1.0
99980 Enzymes with EC numbers	K00633	1.0
99980 Enzymes with EC numbers	K22888	1.0
99980 Enzymes with EC numbers	K13935	1.0
99980 Enzymes with EC numbers	K03377	1.0
99980 Enzymes with EC numbers	K22441	1.0
99980 Enzymes with EC numbers	K22442	1.0
99980 Enzymes with EC numbers	K11171	1.0
99980 Enzymes with EC numbers	K00661	1.0
99980 Enzymes with EC numbers	K00664	1.0
99980 Enzymes with EC numbers	K00671	1.0
99980 Enzymes with EC numbers	K22246	1.0
99980 Enzymes with EC numbers	K00675	1.0
99980 Enzymes with EC numbers	K22247	1.0
99980 Enzymes with EC numbers	K23277	1.0
99980 Enzymes with EC numbers	K15520	1.0
99980 Enzymes with EC numbers	K21378	1.0
99980 Enzymes with EC numbers	K19861	1.0
99980 Enzymes with EC numbers	K16872	1.0
99980 Enzymes with EC numbers	K21380	1.0
99980 Enzymes with EC numbers	K18932	1.0
99980 Enzymes with EC numbers	K21381	1.0
99980 Enzymes with EC numbers	K20239	1.0
99980 Enzymes with EC numbers	K20240	1.0
99980 Enzymes with EC numbers	K21399	1.0
99980 Enzymes with EC numbers	K21400	1.0
99980 Enzymes with EC numbers	K21935	1.0
99980 Enzymes with EC numbers	K22586	1.0
99980 Enzymes with EC numbers	K03820	1.0
99980 Enzymes with EC numbers	K22617	1.0
99980 Enzymes with EC numbers	K22838	1.0
99980 Enzymes with EC numbers	K22839	1.0
99980 Enzymes with EC numbers	K22840	1.0
99980 Enzymes with EC numbers	K22797	1.0
99980 Enzymes with EC numbers	K22463	1.0
99980 Enzymes with EC numbers	K23156	1.0
99980 Enzymes with EC numbers	K23414	1.0
99980 Enzymes with EC numbers	K23415	1.0
99980 Enzymes with EC numbers	K23416	1.0
99980 Enzymes with EC numbers	K22795	1.0
99980 Enzymes with EC numbers	K16813	1.0
99980 Enzymes with EC numbers	K25042	1.0
99980 Enzymes with EC numbers	K25601	1.0
99980 Enzymes with EC numbers	K00680	1.0
99980 Enzymes with EC numbers	K01043	1.0
99980 Enzymes with EC numbers	K03824	1.0
99980 Enzymes with EC numbers	K03826	1.0
99980 Enzymes with EC numbers	K03827	1.0
99980 Enzymes with EC numbers	K03828	1.0
99980 Enzymes with EC numbers	K03829	1.0
99980 Enzymes with EC numbers	K03830	1.0
99980 Enzymes with EC numbers	K04766	1.0
99980 Enzymes with EC numbers	K11172	1.0
99980 Enzymes with EC numbers	K14658	1.0
99980 Enzymes with EC numbers	K14660	1.0
99980 Enzymes with EC numbers	K14661	1.0
99980 Enzymes with EC numbers	K19429	1.0
99980 Enzymes with EC numbers	K19747	1.0
99980 Enzymes with EC numbers	K21992	1.0
99980 Enzymes with EC numbers	K22750	1.0
99980 Enzymes with EC numbers	K22796	1.0
99980 Enzymes with EC numbers	K22883	1.0
99980 Enzymes with EC numbers	K22884	1.0
99980 Enzymes with EC numbers	K22885	1.0
99980 Enzymes with EC numbers	K22886	1.0
99980 Enzymes with EC numbers	K22889	1.0
99980 Enzymes with EC numbers	K23278	1.0
99980 Enzymes with EC numbers	K24117	1.0
99980 Enzymes with EC numbers	K24217	1.0
99980 Enzymes with EC numbers	K22757	1.0
99980 Enzymes with EC numbers	K00684	1.0
99980 Enzymes with EC numbers	K21419	1.0
99980 Enzymes with EC numbers	K00686	1.0
99980 Enzymes with EC numbers	K05619	1.0
99980 Enzymes with EC numbers	K05620	1.0
99980 Enzymes with EC numbers	K05621	1.0
99980 Enzymes with EC numbers	K05622	1.0
99980 Enzymes with EC numbers	K05623	1.0
99980 Enzymes with EC numbers	K05624	1.0
99980 Enzymes with EC numbers	K22452	1.0
99980 Enzymes with EC numbers	K05941	1.0
99980 Enzymes with EC numbers	K21382	1.0
99980 Enzymes with EC numbers	K17484	1.0
99980 Enzymes with EC numbers	K17485	1.0
99980 Enzymes with EC numbers	K21420	1.0
99980 Enzymes with EC numbers	K22310	1.0
99980 Enzymes with EC numbers	K19761	1.0
99980 Enzymes with EC numbers	K22317	1.0
99980 Enzymes with EC numbers	K21351	1.0
99980 Enzymes with EC numbers	K18820	1.0
99980 Enzymes with EC numbers	K08235	1.0
99980 Enzymes with EC numbers	K15533	1.0
99980 Enzymes with EC numbers	K03692	1.0
99980 Enzymes with EC numbers	K03731	1.0
99980 Enzymes with EC numbers	K10231	1.0
99980 Enzymes with EC numbers	K22248	1.0
99980 Enzymes with EC numbers	K21352	1.0
99980 Enzymes with EC numbers	K13058	1.0
99980 Enzymes with EC numbers	K15534	1.0
99980 Enzymes with EC numbers	K21353	1.0
99980 Enzymes with EC numbers	K15521	1.0
99980 Enzymes with EC numbers	K21349	1.0
99980 Enzymes with EC numbers	K18822	1.0
99980 Enzymes with EC numbers	K18823	1.0
99980 Enzymes with EC numbers	K18783	1.0
99980 Enzymes with EC numbers	K16212	1.0
99980 Enzymes with EC numbers	K18784	1.0
99980 Enzymes with EC numbers	K18785	1.0
99980 Enzymes with EC numbers	K18786	1.0
99980 Enzymes with EC numbers	K21350	1.0
99980 Enzymes with EC numbers	K21355	1.0
99980 Enzymes with EC numbers	K21298	1.0
99980 Enzymes with EC numbers	K20885	1.0
99980 Enzymes with EC numbers	K22426	1.0
99980 Enzymes with EC numbers	K22597	1.0
99980 Enzymes with EC numbers	K22950	1.0
99980 Enzymes with EC numbers	K23079	1.0
99980 Enzymes with EC numbers	K23154	1.0
99980 Enzymes with EC numbers	K23395	1.0
99980 Enzymes with EC numbers	K23396	1.0
99980 Enzymes with EC numbers	K23725	1.0
99980 Enzymes with EC numbers	K22721	1.0
99980 Enzymes with EC numbers	K23974	1.0
99980 Enzymes with EC numbers	K23981	1.0
99980 Enzymes with EC numbers	K23982	1.0
99980 Enzymes with EC numbers	K25230	1.0
99980 Enzymes with EC numbers	K25763	1.0
99980 Enzymes with EC numbers	K25764	1.0
99980 Enzymes with EC numbers	K25919	1.0
99980 Enzymes with EC numbers	K00754	1.0
99980 Enzymes with EC numbers	K11257	1.0
99980 Enzymes with EC numbers	K24103	1.0
99980 Enzymes with EC numbers	K08728	1.0
99980 Enzymes with EC numbers	K00774	1.0
99980 Enzymes with EC numbers	K15258	1.0
99980 Enzymes with EC numbers	K15259	1.0
99980 Enzymes with EC numbers	K15260	1.0
99980 Enzymes with EC numbers	K15261	1.0
99980 Enzymes with EC numbers	K19977	1.0
99980 Enzymes with EC numbers	K05951	1.0
99980 Enzymes with EC numbers	K13930	1.0
99980 Enzymes with EC numbers	K21299	1.0
99980 Enzymes with EC numbers	K18931	1.0
99980 Enzymes with EC numbers	K03813	1.0
99980 Enzymes with EC numbers	K17251	1.0
99980 Enzymes with EC numbers	K13670	1.0
99980 Enzymes with EC numbers	K19422	1.0
99980 Enzymes with EC numbers	K19427	1.0
99980 Enzymes with EC numbers	K05812	1.0
99980 Enzymes with EC numbers	K25070	1.0
99980 Enzymes with EC numbers	K22871	1.0
99980 Enzymes with EC numbers	K18114	1.0
99980 Enzymes with EC numbers	K21300	1.0
